06/14/2023 16:25:45 INFO | ---Starting cycle at 06/14/2023 16:25:45 PST
06/14/2023 16:26:07 DEBUG | Created Mar3103 with ID 6354726924081390956.
06/14/2023 16:26:07 DEBUG | Created SWC0002 with ID -8050958720787388461.
06/14/2023 16:26:07 DEBUG | Created JKm001 with ID 7575313886351905390.
06/14/2023 16:26:07 DEBUG | Created C94R802 with ID -1850801578825046509.
06/14/2023 16:26:07 DEBUG | Created A10UeAm with ID -4214184343140707935.
06/14/2023 16:26:07 INFO | -Assessed Candidates
06/14/2023 16:26:07 INFO | New (29)
06/14/2023 16:26:07 DEBUG | [Candidate ST23F09 (MPC NEO), Candidate A10VGGW (MPC NEO), Candidate P21G0G2 (MPC NEO), Candidate P21G0FQ (MPC NEO), Candidate C9CWMP2 (MPC NEO), Candidate C9CXEC2 (MPC NEO), Candidate C9CU8E2 (MPC NEO), Candidate C9CTCK2 (MPC NEO), Candidate P21FZuX (MPC NEO), Candidate C3R7HJ1 (MPC NEO), Candidate 3FD1C21 (MPC NEO), Candidate C9CQJP2 (MPC NEO), Candidate 3FD6B21 (MPC NEO), Candidate xkos326 (MPC NEO), Candidate C9CK882 (MPC NEO), Candidate C3R7GH1 (MPC NEO), Candidate C9CJ2Z2 (MPC NEO), Candidate P21FZto (MPC NEO), Candidate P21FZtq (MPC NEO), Candidate C9CHDU2 (MPC NEO), Candidate ST23F05 (MPC NEO), Candidate X82099 (MPC NEO), Candidate JHRc1If (MPC NEO), Candidate P21FR9u (MPC NEO), Candidate Mar3103 (MPC NEO), Candidate SWC0002 (MPC NEO), Candidate JKm001 (MPC NEO), Candidate C94R802 (MPC NEO), Candidate A10UeAm (MPC NEO)]
06/14/2023 16:26:07 INFO | Static (0)
06/14/2023 16:26:07 DEBUG | []
06/14/2023 16:26:07 INFO | Updated (0)
06/14/2023 16:26:07 DEBUG | []
06/14/2023 16:26:07 INFO | Removed (0)
06/14/2023 16:26:07 DEBUG | []
06/14/2023 16:26:07 INFO | ---Finished MPC logging without error at 06/14/2023 16:26:07 PST
06/14/2023 16:26:07 INFO | --- Selecting ---
06/14/2023 16:26:07 INFO | Finding observability and evaluating 29 objects.
06/14/2023 16:26:10 DEBUG | Rejected SWC0002 for error limit.
06/14/2023 16:26:10 DEBUG | Rejected X82099 for error limit.
06/14/2023 16:26:10 DEBUG | Rejected xkos326 for error limit.
06/14/2023 16:26:10 DEBUG | Rejected C9CXEC2 for error limit.
06/14/2023 16:26:10 DEBUG | Rejected C9CWMP2 for error limit.
06/14/2023 16:26:10 DEBUG | Rejected ST23F05 for magnitude limit.
06/14/2023 16:26:10 DEBUG | Rejected P21FR9u for magnitude limit.
06/14/2023 16:26:10 DEBUG | Rejected C9CQJP2 for magnitude limit.
06/14/2023 16:26:10 DEBUG | Rejected P21FZto for error limit.
06/14/2023 16:26:10 DEBUG | Rejected P21G0G2 for magnitude limit.
06/14/2023 16:26:10 DEBUG | Rejected ST23F09 for magnitude limit.
06/14/2023 16:26:10 DEBUG | Rejected Mar3103 for error limit.
06/14/2023 16:26:10 DEBUG | Rejected JHRc1If for magnitude limit.
06/14/2023 16:26:10 DEBUG | Rejected P21FZuX for magnitude limit.
06/14/2023 16:26:10 DEBUG | Rejected JKm001 for magnitude limit.
06/14/2023 16:26:10 DEBUG | Updated SWC0002.
06/14/2023 16:26:10 DEBUG | Updated A10VGGW.
06/14/2023 16:26:10 DEBUG | Updated X82099.
06/14/2023 16:26:11 DEBUG | Updated 3FD6B21.
06/14/2023 16:26:11 DEBUG | Updated A10UeAm.
06/14/2023 16:26:11 DEBUG | Updated P21FZtq.
06/14/2023 16:26:11 DEBUG | Updated xkos326.
06/14/2023 16:26:11 DEBUG | Updated C9CK882.
06/14/2023 16:26:11 DEBUG | Updated C9CXEC2.
06/14/2023 16:26:11 DEBUG | Updated C9CHDU2.
06/14/2023 16:26:11 DEBUG | Updated C9CU8E2.
06/14/2023 16:26:11 DEBUG | Updated C94R802.
06/14/2023 16:26:11 DEBUG | Updated C3R7HJ1.
06/14/2023 16:26:11 DEBUG | Updated C9CJ2Z2.
06/14/2023 16:26:11 DEBUG | Updated 3FD1C21.
06/14/2023 16:26:11 DEBUG | Updated C9CWMP2.
06/14/2023 16:26:11 DEBUG | Updated ST23F05.
06/14/2023 16:26:11 DEBUG | Updated P21G0FQ.
06/14/2023 16:26:11 DEBUG | Updated P21FR9u.
06/14/2023 16:26:11 DEBUG | Updated C9CQJP2.
06/14/2023 16:26:11 DEBUG | Updated P21FZto.
06/14/2023 16:26:11 DEBUG | Updated P21G0G2.
06/14/2023 16:26:11 DEBUG | Updated ST23F09.
06/14/2023 16:26:11 DEBUG | Updated Mar3103.
06/14/2023 16:26:11 DEBUG | Updated JHRc1If.
06/14/2023 16:26:11 DEBUG | Updated C9CTCK2.
06/14/2023 16:26:11 DEBUG | Updated P21FZuX.
06/14/2023 16:26:11 DEBUG | Updated C3R7GH1.
06/14/2023 16:26:11 DEBUG | Updated JKm001.
06/14/2023 16:26:11 INFO | ---Finished MPC selection without error at 06/14/2023 16:26:11 PST
06/14/2023 16:26:11 INFO | ---Done. will run again at 06/14/2023 16:41:11 PST.
06/14/2023 16:30:10 INFO | ---Starting cycle at 06/14/2023 16:30:10 PST
06/14/2023 16:30:12 INFO | --- Grabbing ---
06/14/2023 16:30:12 INFO | Constructing Candidates from MPC List
06/14/2023 16:30:17 INFO | Construction complete.
06/14/2023 16:30:40 INFO | C9CXEC2 is a near-approach!
06/14/2023 16:30:41 INFO | C3R7HJ1 is a near-approach!
06/14/2023 16:30:42 INFO | xkos326 is a near-approach!
06/14/2023 16:30:42 INFO | C3R7GH1 is a near-approach!
06/14/2023 16:30:43 INFO | X82099 is a near-approach!
06/14/2023 16:30:45 DEBUG | Checking for updates toST23F09
06/14/2023 16:30:45 DEBUG | None found
06/14/2023 16:30:45 DEBUG | Checking for updates toA10VGGW
06/14/2023 16:30:45 DEBUG | None found
06/14/2023 16:30:45 DEBUG | Checking for updates toP21G0G2
06/14/2023 16:30:45 DEBUG | None found
06/14/2023 16:30:45 DEBUG | Checking for updates toP21G0FQ
06/14/2023 16:30:45 DEBUG | None found
06/14/2023 16:30:45 DEBUG | Checking for updates toC9CWMP2
06/14/2023 16:30:45 DEBUG | None found
06/14/2023 16:30:45 DEBUG | Checking for updates toC9CXEC2
06/14/2023 16:30:45 DEBUG | None found
06/14/2023 16:30:45 DEBUG | Checking for updates toC9CU8E2
06/14/2023 16:30:45 DEBUG | None found
06/14/2023 16:30:45 DEBUG | Checking for updates toC9CTCK2
06/14/2023 16:30:45 DEBUG | None found
06/14/2023 16:30:45 DEBUG | Checking for updates toP21FZuX
06/14/2023 16:30:45 DEBUG | None found
06/14/2023 16:30:45 DEBUG | Checking for updates toC3R7HJ1
06/14/2023 16:30:45 DEBUG | None found
06/14/2023 16:30:45 DEBUG | Checking for updates to3FD1C21
06/14/2023 16:30:45 DEBUG | None found
06/14/2023 16:30:45 DEBUG | Checking for updates toC9CQJP2
06/14/2023 16:30:45 DEBUG | None found
06/14/2023 16:30:45 DEBUG | Checking for updates to3FD6B21
06/14/2023 16:30:45 DEBUG | None found
06/14/2023 16:30:45 DEBUG | Checking for updates toxkos326
06/14/2023 16:30:45 DEBUG | None found
06/14/2023 16:30:45 DEBUG | Checking for updates toC9CK882
06/14/2023 16:30:45 DEBUG | None found
06/14/2023 16:30:45 DEBUG | Checking for updates toC3R7GH1
06/14/2023 16:30:45 DEBUG | None found
06/14/2023 16:30:45 DEBUG | Checking for updates toC9CJ2Z2
06/14/2023 16:30:45 DEBUG | None found
06/14/2023 16:30:45 DEBUG | Checking for updates toP21FZto
06/14/2023 16:30:45 DEBUG | None found
06/14/2023 16:30:45 DEBUG | Checking for updates toP21FZtq
06/14/2023 16:30:45 DEBUG | None found
06/14/2023 16:30:45 DEBUG | Checking for updates toC9CHDU2
06/14/2023 16:30:45 DEBUG | None found
06/14/2023 16:30:45 DEBUG | Checking for updates toST23F05
06/14/2023 16:30:45 DEBUG | None found
06/14/2023 16:30:45 DEBUG | Checking for updates toX82099
06/14/2023 16:30:45 DEBUG | None found
06/14/2023 16:30:45 DEBUG | Checking for updates toJHRc1If
06/14/2023 16:30:45 DEBUG | None found
06/14/2023 16:30:45 DEBUG | Checking for updates toP21FR9u
06/14/2023 16:30:45 DEBUG | None found
06/14/2023 16:30:45 DEBUG | Checking for updates toMar3103
06/14/2023 16:30:45 DEBUG | None found
06/14/2023 16:30:45 DEBUG | Checking for updates toSWC0002
06/14/2023 16:30:45 DEBUG | None found
06/14/2023 16:30:45 DEBUG | Checking for updates toJKm001
06/14/2023 16:30:45 DEBUG | None found
06/14/2023 16:30:45 DEBUG | Checking for updates toC94R802
06/14/2023 16:30:45 DEBUG | None found
06/14/2023 16:30:45 DEBUG | Checking for updates toA10UeAm
06/14/2023 16:30:45 DEBUG | None found
06/14/2023 16:30:45 INFO | -Assessed Candidates
06/14/2023 16:30:45 INFO | New (0)
06/14/2023 16:30:45 DEBUG | []
06/14/2023 16:30:45 INFO | Static (29)
06/14/2023 16:30:45 DEBUG | [Candidate ST23F09 (MPC NEO), Candidate A10VGGW (MPC NEO), Candidate P21G0G2 (MPC NEO), Candidate P21G0FQ (MPC NEO), Candidate C9CWMP2 (MPC NEO), Candidate C9CXEC2 (MPC NEO), Candidate C9CU8E2 (MPC NEO), Candidate C9CTCK2 (MPC NEO), Candidate P21FZuX (MPC NEO), Candidate C3R7HJ1 (MPC NEO), Candidate 3FD1C21 (MPC NEO), Candidate C9CQJP2 (MPC NEO), Candidate 3FD6B21 (MPC NEO), Candidate xkos326 (MPC NEO), Candidate C9CK882 (MPC NEO), Candidate C3R7GH1 (MPC NEO), Candidate C9CJ2Z2 (MPC NEO), Candidate P21FZto (MPC NEO), Candidate P21FZtq (MPC NEO), Candidate C9CHDU2 (MPC NEO), Candidate ST23F05 (MPC NEO), Candidate X82099 (MPC NEO), Candidate JHRc1If (MPC NEO), Candidate P21FR9u (MPC NEO), Candidate Mar3103 (MPC NEO), Candidate SWC0002 (MPC NEO), Candidate JKm001 (MPC NEO), Candidate C94R802 (MPC NEO), Candidate A10UeAm (MPC NEO)]
06/14/2023 16:30:45 INFO | Updated (0)
06/14/2023 16:30:45 DEBUG | []
06/14/2023 16:30:45 INFO | Removed (0)
06/14/2023 16:30:45 DEBUG | []
06/14/2023 16:30:45 INFO | ---Finished MPC logging without error at 06/14/2023 16:30:45 PST
06/14/2023 16:30:45 INFO | --- Selecting ---
06/14/2023 16:30:45 INFO | Finding observability and evaluating 29 objects.
06/14/2023 16:33:27 INFO | ---Starting cycle at 06/14/2023 16:33:27 PST
06/14/2023 16:33:28 INFO | --- Grabbing ---
06/14/2023 16:33:28 INFO | Constructing Candidates from MPC List
06/14/2023 16:33:34 INFO | Construction complete.
06/14/2023 16:33:56 INFO | C9CXEC2 is a near-approach!
06/14/2023 16:33:57 INFO | C3R7HJ1 is a near-approach!
06/14/2023 16:33:57 INFO | xkos326 is a near-approach!
06/14/2023 16:33:58 INFO | C3R7GH1 is a near-approach!
06/14/2023 16:33:59 INFO | X82099 is a near-approach!
06/14/2023 16:34:00 DEBUG | Checking for updates toST23F09
06/14/2023 16:34:00 DEBUG | None found
06/14/2023 16:34:00 DEBUG | Checking for updates toA10VGGW
06/14/2023 16:34:00 DEBUG | None found
06/14/2023 16:34:00 DEBUG | Checking for updates toP21G0G2
06/14/2023 16:34:00 DEBUG | None found
06/14/2023 16:34:00 DEBUG | Checking for updates toP21G0FQ
06/14/2023 16:34:00 DEBUG | None found
06/14/2023 16:34:00 DEBUG | Checking for updates toC9CWMP2
06/14/2023 16:34:00 DEBUG | None found
06/14/2023 16:34:00 DEBUG | Checking for updates toC9CXEC2
06/14/2023 16:34:00 DEBUG | None found
06/14/2023 16:34:00 DEBUG | Checking for updates toC9CU8E2
06/14/2023 16:34:00 DEBUG | None found
06/14/2023 16:34:00 DEBUG | Checking for updates toC9CTCK2
06/14/2023 16:34:00 DEBUG | None found
06/14/2023 16:34:00 DEBUG | Checking for updates toP21FZuX
06/14/2023 16:34:00 DEBUG | None found
06/14/2023 16:34:00 DEBUG | Checking for updates toC3R7HJ1
06/14/2023 16:34:00 DEBUG | None found
06/14/2023 16:34:00 DEBUG | Checking for updates to3FD1C21
06/14/2023 16:34:00 DEBUG | None found
06/14/2023 16:34:00 DEBUG | Checking for updates toC9CQJP2
06/14/2023 16:34:00 DEBUG | None found
06/14/2023 16:34:00 DEBUG | Checking for updates to3FD6B21
06/14/2023 16:34:00 DEBUG | None found
06/14/2023 16:34:00 DEBUG | Checking for updates toxkos326
06/14/2023 16:34:00 DEBUG | None found
06/14/2023 16:34:00 DEBUG | Checking for updates toC9CK882
06/14/2023 16:34:00 DEBUG | None found
06/14/2023 16:34:00 DEBUG | Checking for updates toC3R7GH1
06/14/2023 16:34:00 DEBUG | None found
06/14/2023 16:34:00 DEBUG | Checking for updates toC9CJ2Z2
06/14/2023 16:34:00 DEBUG | None found
06/14/2023 16:34:00 DEBUG | Checking for updates toP21FZto
06/14/2023 16:34:00 DEBUG | None found
06/14/2023 16:34:00 DEBUG | Checking for updates toP21FZtq
06/14/2023 16:34:00 DEBUG | None found
06/14/2023 16:34:00 DEBUG | Checking for updates toC9CHDU2
06/14/2023 16:34:00 DEBUG | None found
06/14/2023 16:34:00 DEBUG | Checking for updates toST23F05
06/14/2023 16:34:00 DEBUG | None found
06/14/2023 16:34:00 DEBUG | Checking for updates toX82099
06/14/2023 16:34:00 DEBUG | None found
06/14/2023 16:34:00 DEBUG | Checking for updates toJHRc1If
06/14/2023 16:34:00 DEBUG | None found
06/14/2023 16:34:00 DEBUG | Checking for updates toP21FR9u
06/14/2023 16:34:00 DEBUG | None found
06/14/2023 16:34:00 DEBUG | Checking for updates toMar3103
06/14/2023 16:34:00 DEBUG | None found
06/14/2023 16:34:00 DEBUG | Checking for updates toSWC0002
06/14/2023 16:34:00 DEBUG | None found
06/14/2023 16:34:00 DEBUG | Checking for updates toJKm001
06/14/2023 16:34:00 DEBUG | None found
06/14/2023 16:34:00 DEBUG | Checking for updates toC94R802
06/14/2023 16:34:00 DEBUG | None found
06/14/2023 16:34:00 DEBUG | Checking for updates toA10UeAm
06/14/2023 16:34:00 DEBUG | None found
06/14/2023 16:34:00 INFO | -Assessed Candidates
06/14/2023 16:34:00 INFO | New (0)
06/14/2023 16:34:00 DEBUG | []
06/14/2023 16:34:00 INFO | Static (29)
06/14/2023 16:34:00 DEBUG | [Candidate ST23F09 (MPC NEO), Candidate A10VGGW (MPC NEO), Candidate P21G0G2 (MPC NEO), Candidate P21G0FQ (MPC NEO), Candidate C9CWMP2 (MPC NEO), Candidate C9CXEC2 (MPC NEO), Candidate C9CU8E2 (MPC NEO), Candidate C9CTCK2 (MPC NEO), Candidate P21FZuX (MPC NEO), Candidate C3R7HJ1 (MPC NEO), Candidate 3FD1C21 (MPC NEO), Candidate C9CQJP2 (MPC NEO), Candidate 3FD6B21 (MPC NEO), Candidate xkos326 (MPC NEO), Candidate C9CK882 (MPC NEO), Candidate C3R7GH1 (MPC NEO), Candidate C9CJ2Z2 (MPC NEO), Candidate P21FZto (MPC NEO), Candidate P21FZtq (MPC NEO), Candidate C9CHDU2 (MPC NEO), Candidate ST23F05 (MPC NEO), Candidate X82099 (MPC NEO), Candidate JHRc1If (MPC NEO), Candidate P21FR9u (MPC NEO), Candidate Mar3103 (MPC NEO), Candidate SWC0002 (MPC NEO), Candidate JKm001 (MPC NEO), Candidate C94R802 (MPC NEO), Candidate A10UeAm (MPC NEO)]
06/14/2023 16:34:00 INFO | Updated (0)
06/14/2023 16:34:00 DEBUG | []
06/14/2023 16:34:00 INFO | Removed (0)
06/14/2023 16:34:00 DEBUG | []
06/14/2023 16:34:00 INFO | ---Finished MPC logging without error at 06/14/2023 16:34:00 PST
06/14/2023 16:34:00 INFO | --- Selecting ---
06/14/2023 16:34:00 INFO | Finding observability and evaluating 29 objects.
06/14/2023 16:34:06 DEBUG | Rejected SWC0002 for error limit.
06/14/2023 16:34:06 DEBUG | Rejected X82099 for error limit.
06/14/2023 16:34:06 DEBUG | Rejected xkos326 for error limit.
06/14/2023 16:34:06 DEBUG | Rejected C9CXEC2 for error limit.
06/14/2023 16:34:06 DEBUG | Rejected C9CWMP2 for error limit.
06/14/2023 16:34:06 DEBUG | Rejected ST23F05 for magnitude limit.
06/14/2023 16:34:06 DEBUG | Rejected P21FR9u for magnitude limit.
06/14/2023 16:34:06 DEBUG | Rejected C9CQJP2 for magnitude limit.
06/14/2023 16:34:06 DEBUG | Rejected P21FZto for error limit.
06/14/2023 16:34:06 DEBUG | Rejected P21G0G2 for magnitude limit.
06/14/2023 16:34:06 DEBUG | Rejected ST23F09 for magnitude limit.
06/14/2023 16:34:06 DEBUG | Rejected Mar3103 for error limit.
06/14/2023 16:34:06 DEBUG | Rejected JHRc1If for magnitude limit.
06/14/2023 16:34:06 DEBUG | Rejected P21FZuX for magnitude limit.
06/14/2023 16:34:06 DEBUG | Rejected JKm001 for magnitude limit.
06/14/2023 16:34:06 DEBUG | Updated SWC0002.
06/14/2023 16:34:06 DEBUG | Updated A10VGGW.
06/14/2023 16:34:06 DEBUG | Updated X82099.
06/14/2023 16:34:06 DEBUG | Updated 3FD6B21.
06/14/2023 16:34:06 DEBUG | Updated A10UeAm.
06/14/2023 16:34:06 DEBUG | Updated P21FZtq.
06/14/2023 16:34:06 DEBUG | Updated xkos326.
06/14/2023 16:34:06 DEBUG | Updated C9CK882.
06/14/2023 16:34:06 DEBUG | Updated C9CXEC2.
06/14/2023 16:34:06 DEBUG | Updated C9CHDU2.
06/14/2023 16:34:06 DEBUG | Updated C9CU8E2.
06/14/2023 16:34:06 DEBUG | Updated C94R802.
06/14/2023 16:34:06 DEBUG | Updated C3R7HJ1.
06/14/2023 16:34:06 DEBUG | Updated C9CJ2Z2.
06/14/2023 16:34:06 DEBUG | Updated 3FD1C21.
06/14/2023 16:34:06 DEBUG | Updated C9CWMP2.
06/14/2023 16:34:06 DEBUG | Updated ST23F05.
06/14/2023 16:34:06 DEBUG | Updated P21G0FQ.
06/14/2023 16:34:06 DEBUG | Updated P21FR9u.
06/14/2023 16:34:06 DEBUG | Updated C9CQJP2.
06/14/2023 16:34:06 DEBUG | Updated P21FZto.
06/14/2023 16:34:06 DEBUG | Updated P21G0G2.
06/14/2023 16:34:06 DEBUG | Updated ST23F09.
06/14/2023 16:34:06 DEBUG | Updated Mar3103.
06/14/2023 16:34:06 DEBUG | Updated JHRc1If.
06/14/2023 16:34:06 DEBUG | Updated C9CTCK2.
06/14/2023 16:34:06 DEBUG | Updated P21FZuX.
06/14/2023 16:34:06 DEBUG | Updated C3R7GH1.
06/14/2023 16:34:06 DEBUG | Updated JKm001.
06/14/2023 16:34:06 INFO | ---Finished MPC selection without error at 06/14/2023 16:34:06 PST
06/14/2023 16:34:06 INFO | ---Done. will run again at 06/14/2023 16:49:06 PST.
06/14/2023 16:34:45 INFO | ---Starting cycle at 06/14/2023 16:34:45 PST
06/14/2023 16:34:46 INFO | --- Grabbing ---
06/14/2023 16:34:46 INFO | Constructing Candidates from MPC List
06/14/2023 16:34:50 INFO | Construction complete.
06/14/2023 16:35:05 INFO | C9CXEC2 is a near-approach!
06/14/2023 16:35:06 INFO | C3R7HJ1 is a near-approach!
06/14/2023 16:35:06 INFO | xkos326 is a near-approach!
06/14/2023 16:35:06 INFO | C3R7GH1 is a near-approach!
06/14/2023 16:35:06 INFO | X82099 is a near-approach!
06/14/2023 16:35:07 DEBUG | Checking for updates toST23F09
06/14/2023 16:35:07 DEBUG | None found
06/14/2023 16:35:07 DEBUG | Checking for updates toA10VGGW
06/14/2023 16:35:07 DEBUG | None found
06/14/2023 16:35:07 DEBUG | Checking for updates toP21G0G2
06/14/2023 16:35:07 DEBUG | None found
06/14/2023 16:35:07 DEBUG | Checking for updates toP21G0FQ
06/14/2023 16:35:07 DEBUG | None found
06/14/2023 16:35:07 DEBUG | Checking for updates toC9CWMP2
06/14/2023 16:35:07 DEBUG | None found
06/14/2023 16:35:07 DEBUG | Checking for updates toC9CXEC2
06/14/2023 16:35:07 DEBUG | None found
06/14/2023 16:35:07 DEBUG | Checking for updates toC9CU8E2
06/14/2023 16:35:07 DEBUG | None found
06/14/2023 16:35:07 DEBUG | Checking for updates toC9CTCK2
06/14/2023 16:35:07 DEBUG | None found
06/14/2023 16:35:07 DEBUG | Checking for updates toP21FZuX
06/14/2023 16:35:07 DEBUG | None found
06/14/2023 16:35:07 DEBUG | Checking for updates toC3R7HJ1
06/14/2023 16:35:07 DEBUG | None found
06/14/2023 16:35:07 DEBUG | Checking for updates to3FD1C21
06/14/2023 16:35:07 DEBUG | None found
06/14/2023 16:35:07 DEBUG | Checking for updates toC9CQJP2
06/14/2023 16:35:07 DEBUG | None found
06/14/2023 16:35:07 DEBUG | Checking for updates to3FD6B21
06/14/2023 16:35:07 DEBUG | None found
06/14/2023 16:35:07 DEBUG | Checking for updates toxkos326
06/14/2023 16:35:07 DEBUG | None found
06/14/2023 16:35:07 DEBUG | Checking for updates toC9CK882
06/14/2023 16:35:07 DEBUG | None found
06/14/2023 16:35:07 DEBUG | Checking for updates toC3R7GH1
06/14/2023 16:35:07 DEBUG | None found
06/14/2023 16:35:07 DEBUG | Checking for updates toC9CJ2Z2
06/14/2023 16:35:07 DEBUG | None found
06/14/2023 16:35:07 DEBUG | Checking for updates toP21FZto
06/14/2023 16:35:07 DEBUG | None found
06/14/2023 16:35:07 DEBUG | Checking for updates toP21FZtq
06/14/2023 16:35:07 DEBUG | None found
06/14/2023 16:35:07 DEBUG | Checking for updates toC9CHDU2
06/14/2023 16:35:07 DEBUG | None found
06/14/2023 16:35:07 DEBUG | Checking for updates toST23F05
06/14/2023 16:35:07 DEBUG | None found
06/14/2023 16:35:07 DEBUG | Checking for updates toX82099
06/14/2023 16:35:07 DEBUG | None found
06/14/2023 16:35:07 DEBUG | Checking for updates toJHRc1If
06/14/2023 16:35:07 DEBUG | None found
06/14/2023 16:35:07 DEBUG | Checking for updates toP21FR9u
06/14/2023 16:35:07 DEBUG | None found
06/14/2023 16:35:07 DEBUG | Checking for updates toMar3103
06/14/2023 16:35:07 DEBUG | None found
06/14/2023 16:35:07 DEBUG | Checking for updates toSWC0002
06/14/2023 16:35:07 DEBUG | None found
06/14/2023 16:35:07 DEBUG | Checking for updates toJKm001
06/14/2023 16:35:07 DEBUG | None found
06/14/2023 16:35:07 DEBUG | Checking for updates toC94R802
06/14/2023 16:35:07 DEBUG | None found
06/14/2023 16:35:07 DEBUG | Checking for updates toA10UeAm
06/14/2023 16:35:07 DEBUG | None found
06/14/2023 16:35:07 INFO | -Assessed Candidates
06/14/2023 16:35:07 INFO | New (0)
06/14/2023 16:35:07 DEBUG | []
06/14/2023 16:35:07 INFO | Static (29)
06/14/2023 16:35:07 DEBUG | [Candidate ST23F09 (MPC NEO), Candidate A10VGGW (MPC NEO), Candidate P21G0G2 (MPC NEO), Candidate P21G0FQ (MPC NEO), Candidate C9CWMP2 (MPC NEO), Candidate C9CXEC2 (MPC NEO), Candidate C9CU8E2 (MPC NEO), Candidate C9CTCK2 (MPC NEO), Candidate P21FZuX (MPC NEO), Candidate C3R7HJ1 (MPC NEO), Candidate 3FD1C21 (MPC NEO), Candidate C9CQJP2 (MPC NEO), Candidate 3FD6B21 (MPC NEO), Candidate xkos326 (MPC NEO), Candidate C9CK882 (MPC NEO), Candidate C3R7GH1 (MPC NEO), Candidate C9CJ2Z2 (MPC NEO), Candidate P21FZto (MPC NEO), Candidate P21FZtq (MPC NEO), Candidate C9CHDU2 (MPC NEO), Candidate ST23F05 (MPC NEO), Candidate X82099 (MPC NEO), Candidate JHRc1If (MPC NEO), Candidate P21FR9u (MPC NEO), Candidate Mar3103 (MPC NEO), Candidate SWC0002 (MPC NEO), Candidate JKm001 (MPC NEO), Candidate C94R802 (MPC NEO), Candidate A10UeAm (MPC NEO)]
06/14/2023 16:35:07 INFO | Updated (0)
06/14/2023 16:35:07 DEBUG | []
06/14/2023 16:35:07 INFO | Removed (0)
06/14/2023 16:35:07 DEBUG | []
06/14/2023 16:35:07 INFO | ---Finished MPC logging without error at 06/14/2023 16:35:07 PST
06/14/2023 16:35:07 INFO | --- Selecting ---
06/14/2023 16:35:07 INFO | Finding observability and evaluating 29 objects.
06/14/2023 16:35:53 INFO | ---Starting cycle at 06/14/2023 16:35:53 PST
06/14/2023 16:35:54 INFO | --- Grabbing ---
06/14/2023 16:35:54 INFO | Constructing Candidates from MPC List
06/14/2023 16:35:57 INFO | Construction complete.
06/14/2023 16:36:13 INFO | C9CXEC2 is a near-approach!
06/14/2023 16:36:13 INFO | C3R7HJ1 is a near-approach!
06/14/2023 16:36:13 INFO | xkos326 is a near-approach!
06/14/2023 16:36:13 INFO | C3R7GH1 is a near-approach!
06/14/2023 16:36:14 INFO | X82099 is a near-approach!
06/14/2023 16:36:14 DEBUG | Checking for updates toST23F09
06/14/2023 16:36:14 DEBUG | None found
06/14/2023 16:36:14 DEBUG | Checking for updates toA10VGGW
